                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  3.832,                 5.6648,                  3.216,                      0,                      0,                      0,                      0,                 3.8617,                 5.4202,                 3.3221,             9.6733e-06,             9.6733e-06,             9.6733e-06
                     36,                   3.83,                 5.6592,                 3.2154,                      0,                      0,                      0,                      0,                 3.8489,                 5.4189,                 3.3186,             9.6634e-06,             9.6634e-06,             9.6634e-06
                     37,                 3.8449,                 5.6642,                  3.195,                      0,                      0,                      0,                      0,                 3.8466,                 5.4192,                 3.3183,             9.6535e-06,             9.6535e-06,             9.6535e-06
                     38,                 3.8076,                 5.6532,                 3.2097,                      0,                      0,                      0,                      0,                 3.8471,                 5.4208,                 3.3183,             9.6436e-06,             9.6436e-06,             9.6436e-06
                     39,                 3.7863,                  5.657,                 3.2028,                      0,                      0,                      0,                      0,                 3.8452,                 5.4221,                 3.3204,             9.6337e-06,             9.6337e-06,             9.6337e-06
                     40,                 3.7924,                 5.6552,                  3.207,                      0,                      0,                      0,                      0,                  3.837,                 5.4209,                 3.3184,             9.6238e-06,             9.6238e-06,             9.6238e-06
                     41,                 3.8197,                 5.6662,                 3.1772,                      0,                      0,                      0,                      0,                 3.8322,                 5.4211,                 3.3146,             9.6139e-06,             9.6139e-06,             9.6139e-06
                     42,                  3.805,                 5.6583,                 3.2008,                      0,                      0,                      0,                      0,                 3.8349,                  5.424,                 3.3122,              9.604e-06,              9.604e-06,              9.604e-06
                     43,                  3.778,                 5.6648,                 3.1906,                      0,                      0,                      0,                      0,                 3.8275,                 5.4244,                 3.3164,             9.5941e-06,             9.5941e-06,             9.5941e-06
                     44,                 3.7846,                 5.6548,                 3.2091,                      0,                      0,                      0,                      0,                 3.8255,                 5.4238,                  3.313,             9.5842e-06,             9.5842e-06,             9.5842e-06
                     45,                 3.7725,                 5.6676,                  3.178,                      0,                      0,                      0,                      0,                  3.823,                 5.4247,                 3.3125,             9.5743e-06,             9.5743e-06,             9.5743e-06
                     46,                 3.7775,                 5.6605,                 3.1836,                      0,                      0,                      0,                      0,                 3.8143,                 5.4254,                  3.309,             9.5644e-06,             9.5644e-06,             9.5644e-06
                     47,                 3.7967,                 5.6616,                 3.2011,                      0,                      0,                      0,                      0,                 3.8167,                 5.4262,                 3.3142,             9.5545e-06,             9.5545e-06,             9.5545e-06
                     48,                 3.7725,                  5.662,                 3.1942,                      0,                      0,                      0,                      0,                 3.8139,                 5.4244,                 3.3119,             9.5446e-06,             9.5446e-06,             9.5446e-06
                     49,                 3.7936,                   5.66,                 3.1976,                      0,                      0,                      0,                      0,                 3.8048,                 5.4257,                 3.3093,             9.5347e-06,             9.5347e-06,             9.5347e-06
                     50,                 3.7749,                 5.6665,                 3.1974,                      0,                      0,                      0,                      0,                 3.8112,                 5.4268,                 3.3114,             9.5248e-06,             9.5248e-06,             9.5248e-06
                     51,                 3.7794,                 5.6666,                 3.1939,                      0,                      0,                      0,                      0,                 3.8005,                 5.4297,                 3.3108,             9.5149e-06,             9.5149e-06,             9.5149e-06
                     52,                 3.7622,                 5.6629,                 3.2145,                      0,                      0,                      0,                      0,                 3.7903,                  5.428,                 3.3112,              9.505e-06,              9.505e-06,              9.505e-06
                     53,                 3.7558,                 5.6679,                  3.202,                      0,                      0,                      0,                      0,                 3.7976,                  5.428,                  3.314,             9.4951e-06,             9.4951e-06,             9.4951e-06
                     54,                 3.7613,                 5.6638,                 3.1848,                      0,                      0,                      0,                      0,                 3.7889,                 5.4287,                 3.3139,             9.4852e-06,             9.4852e-06,             9.4852e-06
                     55,                 3.7496,                 5.6624,                 3.1958,                      0,                      0,                      0,                      0,                   3.79,                 5.4311,                 3.3167,             9.4753e-06,             9.4753e-06,             9.4753e-06
                     56,                  3.759,                 5.6697,                 3.2162,                      0,                      0,                      0,                      0,                 3.7867,                 5.4317,                 3.3137,             9.4654e-06,             9.4654e-06,             9.4654e-06
                     57,                 3.7674,                 5.6659,                 3.2111,                      0,                      0,                      0,                      0,                 3.7856,                 5.4335,                 3.3178,             9.4555e-06,             9.4555e-06,             9.4555e-06
                     58,                 3.7399,                 5.6634,                 3.2266,                      0,                      0,                      0,                      0,                 3.7818,                  5.434,                 3.3163,             9.4456e-06,             9.4456e-06,             9.4456e-06
