                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2332,                 4.4166,                 2.8641,                      0,                      0,                      0,                      0,                      0,                 26.671,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.2159,                 5.7071,                 2.8247,                      0,                      0,                      0,                      0,                      0,                 8916.9,                      0,                 0.0001,                 0.0001,                 0.0001
                      3,                 3.2052,                  6.344,                 2.8369,                      0,                      0,                      0,                      0,                      0,                 8923.3,                      0,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      4,                 3.1966,                 6.3823,                  2.845,                      0,                      0,                      0,                      0,                      0,                 8932.4,                      0,             9.9802e-05,             9.9802e-05,             9.9802e-05
