                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3818,                 3.7003,                 1.7819,                0.39415,                0.24122,                 0.2328,                 0.1493,                 1.3011,                 2.8893,                 1.6677,               0.010629,               0.010629,               0.010629
                     36,                  1.382,                 3.6955,                 1.7811,                0.39264,                 0.2419,                0.23388,                0.14993,                 1.3007,                 2.8839,                 1.6665,               0.010618,               0.010618,               0.010618
                     37,                 1.3789,                 3.6871,                 1.7791,                    0.4,                0.24135,                0.23522,                0.15089,                 1.2992,                 2.8776,                 1.6652,               0.010607,               0.010607,               0.010607
                     38,                 1.3778,                  3.686,                 1.7766,                0.40192,                0.24388,                0.23662,                0.15197,                 1.2981,                  2.869,                 1.6643,               0.010596,               0.010596,               0.010596
                     39,                 1.3766,                 3.6814,                 1.7756,                0.40262,                0.24565,                0.23805,                  0.153,                 1.2977,                 2.8598,                 1.6636,               0.010585,               0.010585,               0.010585
                     40,                 1.3772,                 3.6855,                 1.7775,                0.40662,                0.24585,                0.23994,                0.15402,                 1.2971,                  2.854,                 1.6627,               0.010575,               0.010575,               0.010575
                     41,                 1.3757,                 3.6762,                 1.7754,                0.40221,                0.24817,                0.24083,                0.15453,                 1.2965,                 2.8485,                 1.6623,               0.010564,               0.010564,               0.010564
                     42,                 1.3775,                 3.6817,                 1.7779,                0.40397,                0.24908,                0.24174,                0.15511,                 1.2954,                 2.8439,                 1.6615,               0.010553,               0.010553,               0.010553
                     43,                  1.378,                 3.6683,                 1.7752,                0.40468,                0.25033,                0.24225,                0.15524,                 1.2957,                 2.8399,                 1.6611,               0.010542,               0.010542,               0.010542
                     44,                 1.3775,                 3.6768,                  1.776,                0.40575,                0.25005,                 0.2432,                0.15601,                 1.2963,                 2.8348,                 1.6612,               0.010531,               0.010531,               0.010531
                     45,                 1.3752,                 3.6645,                 1.7734,                0.40501,                0.25123,                 0.2441,                0.15652,                 1.2945,                  2.827,                 1.6598,                0.01052,                0.01052,                0.01052
                     46,                 1.3754,                 3.6599,                 1.7728,                0.40793,                0.25408,                0.24493,                0.15715,                 1.2941,                 2.8223,                 1.6597,               0.010509,               0.010509,               0.010509
                     47,                 1.3735,                 3.6613,                 1.7753,                0.40713,                0.25469,                0.24589,                0.15801,                 1.2928,                 2.8184,                 1.6592,               0.010498,               0.010498,               0.010498
                     48,                  1.372,                 3.6567,                 1.7728,                0.40278,                0.25694,                0.24639,                0.15801,                 1.2926,                 2.8136,                 1.6591,               0.010487,               0.010487,               0.010487
