                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.063,                 5.6994,                 3.3873,                      0,                      0,                      0,                      0,                 4.0941,                 5.4178,                 3.5353,                  1e-05,                  1e-05,                  1e-05
                      2,                 4.0201,                 5.6927,                 3.3664,                      0,                      0,                      0,                      0,                 4.0906,                 5.4199,                 3.5341,                  1e-05,                  1e-05,                  1e-05
                      3,                 4.0311,                 5.6909,                 3.3365,                      0,                      0,                      0,                      0,                 4.0768,                 5.4185,                 3.5231,             9.9901e-06,             9.9901e-06,             9.9901e-06
                      4,                 4.0103,                 5.6966,                 3.3397,                      0,                      0,                      0,                      0,                  4.078,                 5.4174,                 3.5208,             9.9802e-06,             9.9802e-06,             9.9802e-06
                      5,                 4.0143,                    5.7,                  3.337,                      0,                      0,                      0,                      0,                 4.0702,                 5.4189,                 3.5157,             9.9703e-06,             9.9703e-06,             9.9703e-06
                      6,                 4.0172,                 5.6983,                  3.311,                      0,                      0,                      0,                      0,                 4.0658,                 5.4178,                 3.5104,             9.9604e-06,             9.9604e-06,             9.9604e-06
                      7,                 4.0116,                 5.6965,                 3.3105,                      0,                      0,                      0,                      0,                 4.0574,                 5.4183,                 3.5047,             9.9505e-06,             9.9505e-06,             9.9505e-06
                      8,                 3.9955,                 5.6913,                 3.3238,                      0,                      0,                      0,                      0,                 4.0564,                 5.4174,                 3.4987,             9.9406e-06,             9.9406e-06,             9.9406e-06
                      9,                 3.9821,                 5.6864,                 3.3145,                      0,                      0,                      0,                      0,                 4.0461,                 5.4204,                 3.4917,             9.9307e-06,             9.9307e-06,             9.9307e-06
                     10,                 3.9816,                 5.6843,                 3.3101,                      0,                      0,                      0,                      0,                   4.04,                 5.4196,                 3.4964,             9.9208e-06,             9.9208e-06,             9.9208e-06
                     11,                 3.9806,                 5.6808,                 3.3015,                      0,                      0,                      0,                      0,                 4.0328,                 5.4182,                 3.4882,             9.9109e-06,             9.9109e-06,             9.9109e-06
                     12,                 3.9726,                 5.6825,                 3.3089,                      0,                      0,                      0,                      0,                 4.0232,                 5.4186,                 3.4792,              9.901e-06,              9.901e-06,              9.901e-06
                     13,                  3.986,                 5.6847,                 3.2928,                      0,                      0,                      0,                      0,                 4.0276,                 5.4186,                 3.4803,             9.8911e-06,             9.8911e-06,             9.8911e-06
                     14,                 3.9844,                 5.6796,                 3.2898,                      0,                      0,                      0,                      0,                 4.0137,                 5.4186,                 3.4687,             9.8812e-06,             9.8812e-06,             9.8812e-06
                     15,                 3.9373,                 5.6816,                  3.294,                      0,                      0,                      0,                      0,                 4.0197,                 5.4185,                  3.468,             9.8713e-06,             9.8713e-06,             9.8713e-06
                     16,                 3.9237,                 5.6752,                 3.2878,                      0,                      0,                      0,                      0,                 4.0085,                 5.4174,                 3.4577,             9.8614e-06,             9.8614e-06,             9.8614e-06
                     17,                  3.954,                 5.6899,                 3.2977,                      0,                      0,                      0,                      0,                 4.0078,                  5.418,                 3.4581,             9.8515e-06,             9.8515e-06,             9.8515e-06
                     18,                  3.968,                 5.6854,                 3.2947,                      0,                      0,                      0,                      0,                 4.0036,                 5.4196,                 3.4522,             9.8416e-06,             9.8416e-06,             9.8416e-06
                     19,                 3.9381,                 5.6856,                 3.2785,                      0,                      0,                      0,                      0,                 4.0013,                 5.4175,                 3.4524,             9.8317e-06,             9.8317e-06,             9.8317e-06
                     20,                 3.9413,                 5.6789,                 3.2812,                      0,                      0,                      0,                      0,                 3.9882,                 5.4178,                 3.4442,             9.8218e-06,             9.8218e-06,             9.8218e-06
                     21,                 3.9195,                  5.671,                 3.2539,                      0,                      0,                      0,                      0,                 3.9814,                 5.4173,                 3.4322,             9.8119e-06,             9.8119e-06,             9.8119e-06
                     22,                  3.923,                 5.6814,                 3.2824,                      0,                      0,                      0,                      0,                 3.9856,                 5.4191,                 3.4311,              9.802e-06,              9.802e-06,              9.802e-06
                     23,                 3.9074,                 5.6699,                 3.2734,                      0,                      0,                      0,                      0,                 3.9733,                 5.4192,                 3.4311,             9.7921e-06,             9.7921e-06,             9.7921e-06
