                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.826,                 5.6782,                 3.2534,                      0,                      0,                      0,                      0,                 3.6933,                  5.437,                 3.2201,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.6471,                 5.6725,                 3.0902,                      0,                      0,                      0,                      0,                 3.7113,                 5.4319,                  3.181,                 0.0001,                 0.0001,                 0.0001
                      3,                 3.6724,                  5.662,                 3.0236,                      0,                      0,                      0,                      0,                 3.7463,                 5.4237,                 3.1282,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      4,                 3.6951,                 5.6498,                 2.9914,                      0,                      0,                      0,                      0,                 3.7479,                 5.4184,                 3.1082,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      5,                 3.6649,                 5.6251,                 3.0003,                      0,                      0,                      0,                      0,                 3.7258,                 5.4102,                 3.1064,             9.9703e-05,             9.9703e-05,             9.9703e-05
                      6,                 3.6596,                 5.6312,                 2.9878,                      0,                      0,                      0,                      0,                 3.7216,                 5.4081,                 3.1007,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      7,                 3.6527,                 5.6292,                 2.9912,                      0,                      0,                      0,                      0,                 3.7114,                 5.4026,                 3.1051,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      8,                 3.6454,                 5.6213,                 2.9969,                      0,                      0,                      0,                      0,                 3.6941,                  5.399,                 3.1248,             9.9406e-05,             9.9406e-05,             9.9406e-05
                      9,                 3.6185,                 5.6097,                 2.9834,                      0,                      0,                      0,                      0,                  3.685,                  5.391,                 3.1177,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     10,                 3.6175,                 5.6036,                 2.9748,                      0,                      0,                      0,                      0,                 3.6817,                 5.3845,                 3.1061,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     11,                 3.6091,                 5.5993,                 2.9952,                      0,                      0,                      0,                      0,                 3.6702,                 5.3803,                 3.1075,             9.9109e-05,             9.9109e-05,             9.9109e-05
                     12,                 3.5936,                  5.588,                 2.9776,                      0,                      0,                      0,                      0,                 3.6737,                 5.3729,                 3.0975,              9.901e-05,              9.901e-05,              9.901e-05
                     13,                 3.6068,                 5.5791,                 2.9604,                      0,                      0,                      0,                      0,                 3.6733,                 5.3621,                 3.0973,             9.8911e-05,             9.8911e-05,             9.8911e-05
                     14,                 3.5961,                 5.5644,                 2.9772,                      0,                      0,                      0,                      0,                 3.6658,                 5.3526,                 3.0985,             9.8812e-05,             9.8812e-05,             9.8812e-05
                     15,                 3.5847,                  5.553,                 2.9617,                      0,                      0,                      0,                      0,                 3.6643,                  5.346,                 3.0922,             9.8713e-05,             9.8713e-05,             9.8713e-05
                     16,                 3.5925,                 5.5529,                 2.9578,                      0,                      0,                      0,                      0,                 3.6675,                 5.3386,                 3.0872,             9.8614e-05,             9.8614e-05,             9.8614e-05
                     17,                 3.6223,                 5.5535,                 2.9598,                      0,                      0,                      0,                      0,                 3.6705,                 5.3342,                 3.0858,             9.8515e-05,             9.8515e-05,             9.8515e-05
                     18,                 3.5653,                 5.5385,                 2.9403,                      0,                      0,                      0,                      0,                 3.6565,                 5.3227,                 3.0833,             9.8416e-05,             9.8416e-05,             9.8416e-05
                     19,                 3.5594,                 5.5275,                 2.9551,                      0,                      0,                      0,                      0,                 3.6347,                 5.3137,                 3.0837,             9.8317e-05,             9.8317e-05,             9.8317e-05
                     20,                 3.5656,                 5.5207,                  2.957,                      0,                      0,                      0,                      0,                  3.637,                 5.3096,                 3.0846,             9.8218e-05,             9.8218e-05,             9.8218e-05
                     21,                 3.5588,                 5.5038,                  2.952,                      0,                      0,                      0,                      0,                 3.6383,                 5.3066,                 3.0802,             9.8119e-05,             9.8119e-05,             9.8119e-05
                     22,                 3.5741,                  5.502,                 2.9435,                      0,                      0,                      0,                      0,                 3.6384,                 5.2984,                 3.0768,              9.802e-05,              9.802e-05,              9.802e-05
                     23,                 3.5516,                 5.4938,                 2.9427,                      0,                      0,                      0,                      0,                 3.6299,                 5.2886,                 3.0701,             9.7921e-05,             9.7921e-05,             9.7921e-05
                     24,                 3.5625,                 5.4801,                 2.9269,                      0,                      0,                      0,                      0,                 3.6402,                 5.2771,                  3.061,             9.7822e-05,             9.7822e-05,             9.7822e-05
                     25,                 3.5649,                 5.4742,                 2.9217,                      0,                      0,                      0,                      0,                   3.64,                 5.2703,                 3.0638,             9.7723e-05,             9.7723e-05,             9.7723e-05
                     26,                 3.5637,                 5.4649,                 2.9337,                      0,                      0,                      0,                      0,                 3.6223,                 5.2622,                 3.0725,             9.7624e-05,             9.7624e-05,             9.7624e-05
                     27,                 3.5628,                 5.4565,                 2.9324,                      0,                      0,                      0,                      0,                 3.6208,                 5.2584,                 3.0733,             9.7525e-05,             9.7525e-05,             9.7525e-05
