                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2399,                 4.4831,                 2.8727,                      0,                      0,                      0,                      0,                      0,                  10.99,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.1684,                 5.8164,                 2.8528,                      0,                      0,                      0,                      0,                      0,                 7.2613,                      0,                 0.0001,                 0.0001,                 0.0001
                      3,                 3.1574,                 6.5225,                  2.866,                      0,                      0,                      0,                      0,                      0,                 8906.5,                      0,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      4,                 3.1765,                 6.4621,                 2.8557,                      0,                      0,                      0,                      0,                      0,                 8906.5,                      0,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      5,                 3.2047,                  6.431,                 2.8408,                      0,                      0,                      0,                      0,                      0,                 7.1842,                      0,             9.9703e-05,             9.9703e-05,             9.9703e-05
                      6,                    3.2,                  6.371,                 2.8493,                      0,                      0,                      0,                      0,                      0,                 8906.5,                      0,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      7,                 3.1919,                 6.3338,                 2.8548,                      0,                      0,                      0,                      0,                      0,                 8906.5,                      0,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      8,                 3.1852,                 6.4032,                 2.8522,                      0,                      0,                      0,                      0,                      0,                 8907.4,                      0,             9.9406e-05,             9.9406e-05,             9.9406e-05
                      9,                 3.1854,                 6.2578,                 2.8474,                      0,                      0,                      0,                      0,                      0,                   8909,                      0,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     10,                 3.1888,                 6.3874,                 2.8457,                      0,                      0,                      0,                      0,                      0,                   8909,                      0,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     11,                  3.191,                 6.3451,                 2.8471,                      0,                      0,                      0,                      0,                      0,                 12.305,                      0,             9.9109e-05,             9.9109e-05,             9.9109e-05
                     12,                 3.1803,                 6.3753,                 2.8385,                      0,                      0,                      0,                      0,                      0,                 8914.5,                      0,              9.901e-05,              9.901e-05,              9.901e-05
                     13,                 3.1738,                 6.3965,                 2.8361,                      0,                      0,                      0,                      0,                      0,                 13.038,                      0,             9.8911e-05,             9.8911e-05,             9.8911e-05
                     14,                  3.167,                 6.2895,                 2.8302,                      0,                      0,                      0,                      0,                      0,                   8907,                      0,             9.8812e-05,             9.8812e-05,             9.8812e-05
                     15,                  3.169,                 6.2936,                 2.8267,                      0,                      0,                      0,                      0,                      0,                   8907,                      0,             9.8713e-05,             9.8713e-05,             9.8713e-05
                     16,                 3.1795,                 6.2621,                 2.8273,                      0,                      0,                      0,                      0,                      0,                   8907,                      0,             9.8614e-05,             9.8614e-05,             9.8614e-05
                     17,                 3.1716,                 6.2315,                 2.8234,                      0,                      0,                      0,                      0,                      0,                 8916.4,                      0,             9.8515e-05,             9.8515e-05,             9.8515e-05
                     18,                 3.1729,                 6.3027,                  2.819,                      0,                      0,                      0,                      0,                      0,                 9158.3,                      0,             9.8416e-05,             9.8416e-05,             9.8416e-05
                     19,                 3.1683,                 6.2574,                 2.8242,                      0,                      0,                      0,                      0,                      0,                 8898.8,                      0,             9.8317e-05,             9.8317e-05,             9.8317e-05
                     20,                 3.1709,                  6.276,                 2.8216,                      0,                      0,                      0,                      0,                      0,                 8898.8,                      0,             9.8218e-05,             9.8218e-05,             9.8218e-05
                     21,                 3.1591,                 6.2235,                 2.8208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.8119e-05,             9.8119e-05,             9.8119e-05
                     22,                 3.1585,                 6.1329,                 2.8149,                      0,                      0,                      0,                      0,                      0,                 8922.7,                      0,              9.802e-05,              9.802e-05,              9.802e-05
                     23,                 3.1594,                 6.1676,                 2.8135,                      0,                      0,                      0,                      0,                      0,                 22.247,                      0,             9.7921e-05,             9.7921e-05,             9.7921e-05
                     24,                 3.1618,                 6.0828,                 2.8139,                      0,                      0,                      0,                      0,                      0,                 8922.7,                      0,             9.7822e-05,             9.7822e-05,             9.7822e-05
