                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0693,                 5.7006,                 3.4077,                      0,                      0,                      0,                      0,                 4.0839,                 5.4173,                 3.5244,                  1e-05,                  1e-05,                  1e-05
                      2,                 3.9944,                 5.6999,                 3.3342,                      0,                      0,                      0,                      0,                 4.0659,                 5.4198,                 3.5179,                  1e-05,                  1e-05,                  1e-05
                      3,                 4.0199,                 5.6966,                 3.3419,                      0,                      0,                      0,                      0,                 4.0647,                 5.4179,                 3.5116,             9.9901e-06,             9.9901e-06,             9.9901e-06
                      4,                 3.9993,                 5.7032,                 3.3221,                      0,                      0,                      0,                      0,                 4.0614,                 5.4232,                 3.5053,             9.9802e-06,             9.9802e-06,             9.9802e-06
                      5,                 3.9985,                 5.6762,                 3.3295,                      0,                      0,                      0,                      0,                 4.0349,                 5.4203,                 3.4911,             9.9703e-06,             9.9703e-06,             9.9703e-06
                      6,                 3.9617,                 5.6943,                 3.3106,                      0,                      0,                      0,                      0,                 4.0402,                 5.4194,                 3.4846,             9.9604e-06,             9.9604e-06,             9.9604e-06
                      7,                 3.9286,                 5.6849,                 3.3069,                      0,                      0,                      0,                      0,                 4.0278,                 5.4177,                 3.4792,             9.9505e-06,             9.9505e-06,             9.9505e-06
                      8,                 3.9754,                 5.6869,                 3.3074,                      0,                      0,                      0,                      0,                 4.0216,                 5.4203,                 3.4742,             9.9406e-06,             9.9406e-06,             9.9406e-06
                      9,                 3.9638,                 5.6852,                 3.3097,                      0,                      0,                      0,                      0,                 4.0118,                 5.4193,                 3.4679,             9.9307e-06,             9.9307e-06,             9.9307e-06
                     10,                 3.9351,                 5.6866,                 3.2823,                      0,                      0,                      0,                      0,                 4.0096,                 5.4205,                 3.4613,             9.9208e-06,             9.9208e-06,             9.9208e-06
                     11,                 3.9319,                  5.678,                 3.2831,                      0,                      0,                      0,                      0,                 3.9968,                 5.4207,                 3.4548,             9.9109e-06,             9.9109e-06,             9.9109e-06
                     12,                 3.9491,                 5.6791,                 3.2934,                      0,                      0,                      0,                      0,                 3.9912,                 5.4202,                 3.4423,              9.901e-06,              9.901e-06,              9.901e-06
                     13,                 3.9237,                 5.6818,                  3.263,                      0,                      0,                      0,                      0,                 3.9816,                 5.4201,                 3.4403,             9.8911e-06,             9.8911e-06,             9.8911e-06
                     14,                 3.9254,                 5.6853,                 3.2594,                      0,                      0,                      0,                      0,                 3.9757,                 5.4185,                 3.4363,             9.8812e-06,             9.8812e-06,             9.8812e-06
                     15,                 3.9224,                 5.6812,                 3.2648,                      0,                      0,                      0,                      0,                 3.9686,                 5.4194,                 3.4283,             9.8713e-06,             9.8713e-06,             9.8713e-06
                     16,                 3.9055,                 5.6723,                 3.2683,                      0,                      0,                      0,                      0,                 3.9634,                 5.4196,                  3.419,             9.8614e-06,             9.8614e-06,             9.8614e-06
                     17,                  3.912,                 5.6765,                 3.2753,                      0,                      0,                      0,                      0,                 3.9542,                 5.4208,                 3.4148,             9.8515e-06,             9.8515e-06,             9.8515e-06
                     18,                 3.9119,                 5.6764,                 3.2656,                      0,                      0,                      0,                      0,                 3.9529,                 5.4207,                  3.406,             9.8416e-06,             9.8416e-06,             9.8416e-06
                     19,                 3.8955,                 5.6728,                 3.2387,                      0,                      0,                      0,                      0,                 3.9479,                 5.4199,                  3.406,             9.8317e-06,             9.8317e-06,             9.8317e-06
                     20,                 3.9302,                 5.6695,                 3.2507,                      0,                      0,                      0,                      0,                 3.9345,                 5.4211,                 3.3953,             9.8218e-06,             9.8218e-06,             9.8218e-06
                     21,                 3.9017,                  5.676,                 3.2495,                      0,                      0,                      0,                      0,                 3.9262,                 5.4211,                 3.3914,             9.8119e-06,             9.8119e-06,             9.8119e-06
                     22,                 3.8547,                 5.6679,                 3.2254,                      0,                      0,                      0,                      0,                 3.9287,                 5.4193,                   3.39,              9.802e-06,              9.802e-06,              9.802e-06
                     23,                 3.8759,                  5.666,                 3.2301,                      0,                      0,                      0,                      0,                 3.9179,                 5.4203,                  3.382,             9.7921e-06,             9.7921e-06,             9.7921e-06
                     24,                 3.8639,                 5.6614,                 3.2417,                      0,                      0,                      0,                      0,                 3.9024,                 5.4189,                 3.3749,             9.7822e-06,             9.7822e-06,             9.7822e-06
                     25,                 3.8575,                 5.6762,                 3.2397,                      0,                      0,                      0,                      0,                 3.9052,                 5.4213,                 3.3729,             9.7723e-06,             9.7723e-06,             9.7723e-06
                     26,                 3.8695,                 5.6671,                 3.2283,                      0,                      0,                      0,                      0,                 3.8986,                 5.4206,                 3.3668,             9.7624e-06,             9.7624e-06,             9.7624e-06
                     27,                 3.8619,                 5.6754,                 3.2213,                      0,                      0,                      0,                      0,                 3.8941,                 5.4214,                 3.3662,             9.7525e-06,             9.7525e-06,             9.7525e-06
                     28,                 3.8474,                 5.6682,                 3.2412,                      0,                      0,                      0,                      0,                 3.8937,                 5.4203,                  3.362,             9.7426e-06,             9.7426e-06,             9.7426e-06
                     29,                 3.8599,                 5.6693,                 3.2356,                      0,                      0,                      0,                      0,                 3.8868,                 5.4189,                  3.359,             9.7327e-06,             9.7327e-06,             9.7327e-06
                     30,                 3.8479,                 5.6654,                 3.2164,                      0,                      0,                      0,                      0,                 3.8762,                 5.4196,                 3.3566,             9.7228e-06,             9.7228e-06,             9.7228e-06
                     31,                 3.8444,                 5.6688,                 3.2057,                      0,                      0,                      0,                      0,                 3.8701,                 5.4195,                 3.3501,             9.7129e-06,             9.7129e-06,             9.7129e-06
                     32,                 3.8365,                 5.6629,                 3.2327,                      0,                      0,                      0,                      0,                 3.8714,                 5.4218,                 3.3491,              9.703e-06,              9.703e-06,              9.703e-06
                     33,                  3.822,                  5.666,                 3.2189,                      0,                      0,                      0,                      0,                 3.8673,                 5.4215,                 3.3456,             9.6931e-06,             9.6931e-06,             9.6931e-06
                     34,                 3.8274,                 5.6621,                 3.2041,                      0,                      0,                      0,                      0,                  3.858,                 5.4219,                 3.3405,             9.6832e-06,             9.6832e-06,             9.6832e-06
                     35,                 3.8334,                 5.6757,                 3.2187,                      0,                      0,                      0,                      0,                 3.8553,                 5.4227,                 3.3409,             9.6733e-06,             9.6733e-06,             9.6733e-06
                     36,                  3.794,                 5.6504,                  3.219,                      0,                      0,                      0,                      0,                 3.8572,                 5.4218,                 3.3461,             9.6634e-06,             9.6634e-06,             9.6634e-06
                     37,                 3.8273,                 5.6619,                 3.2001,                      0,                      0,                      0,                      0,                 3.8447,                 5.4233,                 3.3341,             9.6535e-06,             9.6535e-06,             9.6535e-06
                     38,                 3.8302,                 5.6663,                 3.2171,                      0,                      0,                      0,                      0,                 3.8445,                 5.4228,                 3.3345,             9.6436e-06,             9.6436e-06,             9.6436e-06
                     39,                 3.8176,                 5.6643,                 3.2271,                      0,                      0,                      0,                      0,                 3.8343,                 5.4236,                  3.339,             9.6337e-06,             9.6337e-06,             9.6337e-06
                     40,                 3.8026,                 5.6594,                 3.2049,                      0,                      0,                      0,                      0,                 3.8298,                 5.4248,                 3.3347,             9.6238e-06,             9.6238e-06,             9.6238e-06
